,0,0
388,163.4,7.4140625
389,140.0,10.4130859375
390,183.6,10.80859375
391,194.2,11.4853515625
392,206.4,10.6953125
393,217.6,15.60546875
394,228.6,11.4619140625
395,240.0,13.97265625
396,251.2,14.07421875
397,263.2,15.42578125
398,275.2,14.7412109375
399,286.0,14.1953125
400,298.4,18.8486328125
401,308.2,17.8974609375
402,316.8,16.791015625
403,328.0,18.7646484375
404,344.6,18.4638671875
405,349.6,17.33984375
406,360.8,19.6884765625
407,369.2,20.9833984375
408,377.4,20.3544921875
409,386.8,17.568359375
410,397.4,24.4189453125
411,406.6,18.7080078125
412,414.2,21.6611328125
413,425.2,21.634765625
414,433.6,14.021484375
415,441.2,16.4404296875
416,448.4,25.0927734375
417,450.6,21.5947265625
418,458.2,25.470703125
419,464.8,20.1142578125
420,472.6,26.0048828125
421,479.4,23.15625
422,481.4,22.197265625
423,487.6,26.5126953125
424,488.8,26.19921875
425,493.0,20.9853515625
426,496.4,26.5126953125
427,499.6,23.978515625
428,497.4,24.4755859375
429,505.6,23.8876953125
430,500.6,27.1064453125
431,504.4,22.9970703125
432,505.6,26.677734375
433,505.4,21.4951171875
434,501.4,24.41796875
435,499.2,27.1328125
436,499.0,23.8369140625
437,491.8,24.7177734375
438,490.6,22.0693359375
439,489.0,25.8515625
440,486.4,22.626953125
441,483.2,24.169921875
442,480.8,24.685546875
443,474.0,22.3955078125
444,465.4,24.0673828125
445,460.0,22.9052734375
446,453.4,19.83984375
447,451.6,25.0869140625
448,442.2,23.271484375
449,433.4,20.12890625
450,430.8,23.181640625
451,417.4,20.9228515625
452,415.4,23.3671875
453,402.6,19.6611328125
454,388.2,21.796875
455,378.8,16.4951171875
456,373.6,20.642578125
457,361.0,18.224609375
458,356.8,20.3935546875
459,338.4,17.5556640625
460,334.0,19.2177734375
461,324.6,16.02734375
462,313.2,17.9716796875
463,303.0,13.8984375
464,289.6,18.453125
465,278.8,13.5693359375
466,267.6,16.9853515625
467,257.8,12.1884765625
468,244.0,15.8193359375
469,231.2,12.5693359375
470,210.8,12.544921875
471,204.8,10.9931640625
472,194.0,10.9296875
473,185.4,11.1494140625
474,172.4,9.0322265625
475,160.4,10.171875
476,147.4,6.9501953125
477,138.0,9.435546875
478,130.8,6.873046875
479,122.4,7.4423828125
480,113.2,5.9013671875
481,104.4,5.826171875
482,96.0,5.7314453125
483,88.0,4.078125
484,77.0,4.1376953125
485,68.4,3.6923828125
486,62.0,3.3447265625
487,55.6,2.31640625
488,46.8,2.2333984375
489,40.4,0.5244140625
490,35.0,1.5849609375
491,28.6,1.076171875
492,22.6,0.8203125
493,17.8,0.677734375
494,11.8,0.48046875
495,7.4,0.19921875
496,4.2,0.1044921875
497,2.0,0.03125
498,2.0,0.0078125
499,2.0,1.8628642144290581
500,2.0,0.0
501,2.0,0.0
502,2.0,0.2557549555878241
503,2.4,0.0
504,2.8,0.0
505,2.0,0.0
506,2.6,0.0
507,2.0,0.0
508,2.0,0.0
509,2.0,0.0
510,2.0,0.0
511,2.0,0.0
512,2.0,0.0
513,2.0,0.0
514,2.0,0.0
515,2.0,0.0
516,2.0,0.0
517,2.0,0.0
518,2.0,0.0
519,1.4,0.0
520,2.0,0.0
521,2.0,0.0
522,2.0,0.0
523,1.6,0.0
524,1.8,0.0
525,2.0,0.0
526,2.0,0.0
527,2.0,0.0
528,2.0,0.0
529,2.0,0.0
530,2.0,0.0
531,2.0,0.0
532,2.0,0.0
533,2.0,0.0
534,2.0,0.0
535,2.0,0.0
536,2.0,0.0
537,2.0,0.0
538,2.0,0.0
539,2.0,0.0
540,2.0,0.0
541,2.0,0.0
542,2.0,0.0
543,2.0,0.0
544,2.0,0.0
545,2.0,0.0
546,2.0,0.0
547,2.0,0.0
548,2.0,0.0
